,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
3 Jan 2019,2447.89,60.072,35.548,72.75,75.014,92.86,46.64,1294.28,47.09,2.5535,2.3786
4 Jan 2019,2531.94,63.538,37.065,74.65,78.77,93.44,47.57,1286.05,47.96,2.6677,2.4937
7 Jan 2019,2549.69,66.992,36.983,75.72,81.476,94.54,46.95,1289.21,48.52,2.696,2.5406
8 Jan 2019,2574.41,67.07,37.688,76.73,82.829,95.2,47.48,1285.39,49.78,2.728,2.5855
9 Jan 2019,2584.96,67.706,38.328,76.59,82.971,94.89,46.57,1293.56,52.36,2.71,2.5529
10 Jan 2019,2596.64,68.994,38.45,76.42,82.811,94.96,47.07,1286.65,52.59,2.7421,2.5755
11 Jan 2019,2596.26,69.452,38.073,76.04,82.028,94.84,47.34,1290.25,51.59,2.7007,2.5408
14 Jan 2019,2582.61,66.88,37.5,76.09,80.861,94.95,47.15,1291.72,50.51,2.7024,2.5347
15 Jan 2019,2610.3,68.886,38.268,77.88,83.728,96.25,47.57,1289.51,52.11,2.7112,2.5347
16 Jan 2019,2616.1,69.21,38.735,77.68,84.189,96.35,46.92,1293.67,52.31,2.7218,2.5409
17 Jan 2019,2635.96,69.462,38.965,79.13,84.661,96.74,47.06,1292.05,52.07,2.7504,2.5637
18 Jan 2019,2670.71,60.452,39.205,80.45,84.81,97.73,47.61,1282.11,53.8,2.7842,2.6139
21 Jan 2019,2670.71,60.452,39.205,80.45,84.81,97.73,47.61,1280.47,53.8,2.7842,2.6139
22 Jan 2019,2632.9,59.784,38.325,80.75,81.609,97.49,47.72,1285.22,52.57,2.7392,2.5869
23 Jan 2019,2638.7,57.518,38.48,80.5,82.001,98.71,48.27,1282.72,52.62,2.7409,2.5829
24 Jan 2019,2642.33,58.302,38.175,80.44,82.747,98.36,47.69,1281.21,53.13,2.7157,2.5642
25 Jan 2019,2664.76,59.408,39.44,80.61,83.529,96.94,47.37,1305.25,53.69,2.7585,2.6063
28 Jan 2019,2643.85,59.276,39.075,80.32,81.895,97.06,47.17,1303.36,51.99,2.744,2.5897
29 Jan 2019,2640,59.492,38.67,80.22,79.694,96.71,47.4,1311.79,53.31,2.7098,2.5726
30 Jan 2019,2681.05,61.754,41.313,81.28,83.522,94.8,47.86,1319.91,54.23,2.6775,2.5081
31 Jan 2019,2704.1,61.404,41.61,81.88,85.937,95.83,48.13,1321.25,53.79,2.6293,2.4576
1 Feb 2019,2706.53,62.442,41.63,81.51,81.312,93.86,48.7,1317.98,55.26,2.6842,2.5019
4 Feb 2019,2724.87,62.578,42.813,81.99,81.666,94.77,49.25,1312.25,54.56,2.7235,2.5364
5 Feb 2019,2737.7,64.27,43.545,82.86,82.941,95.6,49.26,1315.32,53.66,2.6983,2.5222
6 Feb 2019,2731.61,63.444,43.56,82.71,82.013,95.64,49.26,1306.6,54.01,2.6946,2.5243
7 Feb 2019,2706.05,61.502,42.735,82.39,80.718,96.73,49.42,1310.11,52.64,2.6572,2.4795
8 Feb 2019,2707.88,61.16,42.603,82.36,79.411,95.58,49.5,1314.29,52.72,2.6339,2.465
11 Feb 2019,2709.8,62.568,42.358,83.68,79.55,96.2,49.61,1308.12,52.41,2.6536,2.4854
12 Feb 2019,2744.73,62.362,42.723,84.71,81.901,96.97,49.66,1310.8,53.1,2.6877,2.5059
13 Feb 2019,2753.03,61.634,42.545,85.4,82,97.94,49.79,1306.27,53.9,2.7021,2.5305
14 Feb 2019,2745.73,60.754,42.7,84.68,81.133,98.52,45.59,1312.57,54.41,2.6536,2.4935
15 Feb 2019,2775.6,61.576,42.605,85.38,80.398,99.99,45.24,1322.49,55.59,2.6626,2.5141
18 Feb 2019,2775.6,61.576,42.605,85.38,80.398,99.99,45.24,1326.89,55.59,2.6626,2.5141
19 Feb 2019,2779.76,61.128,42.733,84.57,81.379,102.2,44.83,1340.94,56.09,2.6339,2.4872
20 Feb 2019,2784.7,60.512,43.008,84.84,81.105,99.88,45.1,1338.44,56.92,2.6447,2.4975
21 Feb 2019,2774.88,58.246,42.765,83.95,80.972,99.39,45.86,1323.63,56.96,2.6914,2.5286
22 Feb 2019,2792.67,58.942,43.243,84.76,81.578,99.55,45.28,1329.4,57.26,2.6518,2.4933
25 Feb 2019,2796.11,59.754,43.558,85.17,81.65,99.12,44.94,1327.58,55.48,2.6626,2.5058
26 Feb 2019,2793.9,59.572,43.583,85.8,81.82,98.69,44.69,1328.96,55.5,2.6357,2.4819
27 Feb 2019,2792.38,62.948,43.718,86.17,82.054,98.11,44.94,1319.86,56.94,2.6825,2.498
28 Feb 2019,2784.49,63.976,43.288,85.73,81.992,98.99,45.34,1313.32,57.22,2.715,2.5141
1 Mar 2019,2803.69,58.958,43.743,87.16,83.587,97.93,45.38,1293.44,55.8,2.7531,2.5526
4 Mar 2019,2792.81,57.072,43.963,85.64,84.809,97.85,45.65,1286.74,56.59,2.7223,2.5405
5 Mar 2019,2789.65,55.308,43.883,85.44,84.622,98.34,45.6,1288.01,56.56,2.7169,2.5446
6 Mar 2019,2771.45,55.248,43.63,85.13,83.448,98.26,45.45,1286.36,56.22,2.6934,2.5161
7 Mar 2019,2748.93,55.318,43.125,85.26,81.298,97.45,45.28,1285.61,56.66,2.6393,2.4734
8 Mar 2019,2743.07,56.828,43.228,84.8,81.04,97.59,44.84,1298.3,56.07,2.6285,2.461
11 Mar 2019,2783.3,58.184,44.725,85.82,83.531,98.48,46.18,1293.35,56.79,2.6393,2.4752
12 Mar 2019,2791.52,56.672,45.228,85.43,83.655,98.37,46.05,1301.58,56.87,2.6015,2.4506
13 Mar 2019,2810.92,57.792,45.428,85.93,84.541,99.03,46.22,1309.12,58.26,2.6213,2.4648
14 Mar 2019,2808.48,57.992,45.933,86.87,84.311,98.22,45.7,1296.17,58.61,2.6303,2.4607
15 Mar 2019,2822.48,55.086,46.53,86.8,85.618,98.42,45.3,1302.4,58.52,2.5871,2.4378
18 Mar 2019,2832.94,53.898,47.005,87.82,87.108,99.66,45.41,1303.71,59.09,2.6033,2.4521
19 Mar 2019,2832.57,53.494,46.633,87.69,88.093,99.85,45.56,1306.56,59.03,2.6123,2.4686
